sepal_length,sepal_width,petal_length,petal_width,sepal_area,species
5.1,3.5,1.4,0.2,17.849999999999998,setosa
4.9,3.0,1.4,0.2,14.700000000000001,setosa
4.7,3.2,1.3,0.2,15.040000000000001,setosa
4.6,3.1,1.5,0.2,14.26,setosa
5.0,3.6,1.4,0.2,18.0,setosa
5.4,3.9,1.7,0.4,21.060000000000002,setosa
4.6,3.4,1.4,0.3,15.639999999999999,setosa
5.0,3.4,1.5,0.2,17.0,setosa
4.4,2.9,1.4,0.2,12.76,setosa
4.9,3.1,1.5,0.1,15.190000000000001,setosa
5.4,3.7,1.5,0.2,19.980000000000004,setosa
4.8,3.4,1.6,0.2,16.32,setosa
4.8,3.0,1.4,0.1,14.399999999999999,setosa
4.3,3.0,1.1,0.1,12.899999999999999,setosa
5.8,4.0,1.2,0.2,23.2,setosa
5.7,4.4,1.5,0.4,25.080000000000002,setosa
5.4,3.9,1.3,0.4,21.060000000000002,setosa
5.1,3.5,1.4,0.3,17.849999999999998,setosa
5.7,3.8,1.7,0.3,21.66,setosa
5.1,3.8,1.5,0.3,19.38,setosa
5.4,3.4,1.7,0.2,18.36,setosa
5.1,3.7,1.5,0.4,18.87,setosa
4.6,3.6,1.0,0.2,16.56,setosa
5.1,3.3,1.7,0.5,16.83,setosa
4.8,3.4,1.9,0.2,16.32,setosa
5.0,3.0,1.6,0.2,15.0,setosa
5.0,3.4,1.6,0.4,17.0,setosa
5.2,3.5,1.5,0.2,18.2,setosa
5.2,3.4,1.4,0.2,17.68,setosa
4.7,3.2,1.6,0.2,15.040000000000001,setosa
4.8,3.1,1.6,0.2,14.879999999999999,setosa
5.4,3.4,1.5,0.4,18.36,setosa
5.2,4.1,1.5,0.1,21.32,setosa
5.5,4.2,1.4,0.2,23.1,setosa
4.9,3.1,1.5,0.2,15.190000000000001,setosa
5.0,3.2,1.2,0.2,16.0,setosa
5.5,3.5,1.3,0.2,19.25,setosa
4.9,3.6,1.4,0.1,17.64,setosa
4.4,3.0,1.3,0.2,13.200000000000001,setosa
5.1,3.4,1.5,0.2,17.34,setosa
5.0,3.5,1.3,0.3,17.5,setosa
4.5,2.3,1.3,0.3,10.35,setosa
4.4,3.2,1.3,0.2,14.080000000000002,setosa
5.0,3.5,1.6,0.6,17.5,setosa
5.1,3.8,1.9,0.4,19.38,setosa
4.8,3.0,1.4,0.3,14.399999999999999,setosa
5.1,3.8,1.6,0.2,19.38,setosa
4.6,3.2,1.4,0.2,14.719999999999999,setosa
5.3,3.7,1.5,0.2,19.61,setosa
5.0,3.3,1.4,0.2,16.5,setosa
7.0,3.2,4.7,1.4,22.400000000000002,versicolor
6.4,3.2,4.5,1.5,20.480000000000004,versicolor
6.9,3.1,4.9,1.5,21.39,versicolor
5.5,2.3,4.0,1.3,12.649999999999999,versicolor
6.5,2.8,4.6,1.5,18.2,versicolor
5.7,2.8,4.5,1.3,15.959999999999999,versicolor
6.3,3.3,4.7,1.6,20.79,versicolor
4.9,2.4,3.3,1.0,11.76,versicolor
6.6,2.9,4.6,1.3,19.139999999999997,versicolor
5.2,2.7,3.9,1.4,14.040000000000001,versicolor
5.0,2.0,3.5,1.0,10.0,versicolor
5.9,3.0,4.2,1.5,17.700000000000003,versicolor
6.0,2.2,4.0,1.0,13.200000000000001,versicolor
6.1,2.9,4.7,1.4,17.689999999999998,versicolor
5.6,2.9,3.6,1.3,16.24,versicolor
6.7,3.1,4.4,1.4,20.77,versicolor
5.6,3.0,4.5,1.5,16.799999999999997,versicolor
5.8,2.7,4.1,1.0,15.66,versicolor
6.2,2.2,4.5,1.5,13.640000000000002,versicolor
5.6,2.5,3.9,1.1,14.0,versicolor
5.9,3.2,4.8,1.8,18.880000000000003,versicolor
6.1,2.8,4.0,1.3,17.08,versicolor
6.3,2.5,4.9,1.5,15.75,versicolor
6.1,2.8,4.7,1.2,17.08,versicolor
6.4,2.9,4.3,1.3,18.56,versicolor
6.6,3.0,4.4,1.4,19.799999999999997,versicolor
6.8,2.8,4.8,1.4,19.04,versicolor
6.7,3.0,5.0,1.7,20.1,versicolor
6.0,2.9,4.5,1.5,17.4,versicolor
5.7,2.6,3.5,1.0,14.82,versicolor
5.5,2.4,3.8,1.1,13.2,versicolor
5.5,2.4,3.7,1.0,13.2,versicolor
5.8,2.7,3.9,1.2,15.66,versicolor
6.0,2.7,5.1,1.6,16.200000000000003,versicolor
5.4,3.0,4.5,1.5,16.200000000000003,versicolor
6.0,3.4,4.5,1.6,20.4,versicolor
6.7,3.1,4.7,1.5,20.77,versicolor
6.3,2.3,4.4,1.3,14.489999999999998,versicolor
5.6,3.0,4.1,1.3,16.799999999999997,versicolor
5.5,2.5,4.0,1.3,13.75,versicolor
5.5,2.6,4.4,1.2,14.3,versicolor
6.1,3.0,4.6,1.4,18.299999999999997,versicolor
5.8,2.6,4.0,1.2,15.08,versicolor
5.0,2.3,3.3,1.0,11.5,versicolor
5.6,2.7,4.2,1.3,15.12,versicolor
5.7,3.0,4.2,1.2,17.1,versicolor
5.7,2.9,4.2,1.3,16.53,versicolor
6.2,2.9,4.3,1.3,17.98,versicolor
5.1,2.5,3.0,1.1,12.75,versicolor
5.7,2.8,4.1,1.3,15.959999999999999,versicolor
6.3,3.3,6.0,2.5,20.79,virginica
5.8,2.7,5.1,1.9,15.66,virginica
7.1,3.0,5.9,2.1,21.299999999999997,virginica
6.3,2.9,5.6,1.8,18.27,virginica
6.5,3.0,5.8,2.2,19.5,virginica
7.6,3.0,6.6,2.1,22.799999999999997,virginica
4.9,2.5,4.5,1.7,12.25,virginica
7.3,2.9,6.3,1.8,21.169999999999998,virginica
6.7,2.5,5.8,1.8,16.75,virginica
7.2,3.6,6.1,2.5,25.92,virginica
6.5,3.2,5.1,2.0,20.8,virginica
6.4,2.7,5.3,1.9,17.28,virginica
6.8,3.0,5.5,2.1,20.4,virginica
5.7,2.5,5.0,2.0,14.25,virginica
5.8,2.8,5.1,2.4,16.24,virginica
6.4,3.2,5.3,2.3,20.480000000000004,virginica
6.5,3.0,5.5,1.8,19.5,virginica
7.7,3.8,6.7,2.2,29.259999999999998,virginica
7.7,2.6,6.9,2.3,20.02,virginica
6.0,2.2,5.0,1.5,13.200000000000001,virginica
